       Space  Time(vis)    Time(s)     solved |     failed
0,  7.850000,  2.590000,  0.000619,       100,         0
1,  8.740000,  3.080000,  0.000629,       100,         0
2,  8.320000, 11.090000,  0.000292,       100,         0
3, 13.470000, 11.280000,  0.001935,       100,         0
4, 13.590000, 12.700000,  0.001854,       100,         0
5,  5.240000,  3.490000,  0.001347,       100,         0
6,  4.670000,  2.780000,  0.001024,       100,         0
7,  5.380000,  2.700000,  0.000162,        97,         3

0,  7.010000,  3.280000,  0.000560,        83,        17
1,  9.680000,  4.690000,  0.000589,        83,        17
2, 10.110000, 13.660000,  0.000443,        83,        17
3,  6.550000,  6.780000,  0.001028,        83,        17
4,  6.860000,  7.440000,  0.000973,        83,        17
5,  4.400000,  3.990000,  0.001108,        83,        17
6,  4.140000,  3.680000,  0.000962,        83,        17
7,  3.260000,  2.270000,  0.000129,        61,        39

0, 19.670000,  5.330000,  0.001112,       100,         0
1, 22.200000,  6.980000,  0.001066,       100,         0
2, 23.390000, 26.870000,  0.000728,       100,         0
3, 33.370000, 30.260000,  0.004754,       100,         0
4, 33.420000, 32.110000,  0.004595,       100,         0
5,  8.490000,  4.790000,  0.002073,       100,         0
6,  7.280000,  3.410000,  0.001491,       100,         0
7,  8.590000,  3.210000,  0.000206,        92,         8

0, 17.130000,  6.990000,  0.001036,        74,        26
1, 23.030000, 10.100000,  0.001005,        74,        26
2, 35.640000, 40.620000,  0.001574,        74,        26
3, 14.870000, 15.130000,  0.002291,        74,        26
4, 15.210000, 15.780000,  0.002185,        74,        26
5,  7.790000,  6.700000,  0.002069,        74,        26
6,  7.180000,  5.790000,  0.001750,        74,        26
7,  4.380000,  2.460000,  0.000148,        44,        56

